Order_ID,Order_Date,Delivery_Date,Product_Name,Category,Supplier,Warehouse,Region,Quantity,Unit_Price,Shipping_Cost,Inventory_Level,Revenue,Profit,Delivery_Status
ORD-10000,2023-01-01,2023-01-05,Organic Coffee,Grocery,FreshFoods,Warehouse A,South,10,30.33,8.0,314,303.34,20.27,On Time
ORD-10001,2023-01-01,2023-01-04,Bulk Almonds,Grocery,FreshFoods,Warehouse C,East,12,32.32,8.0,123,387.86,27.03,On Time
ORD-10002,2023-01-02,2023-01-07,Winter Jacket,Clothing,Vogue Apparel,Warehouse C,West,3,92.16,12.0,131,276.48,104.59,On Time
ORD-10003,2023-01-02,2023-01-03,Running Shoes,Clothing,Vogue Apparel,Warehouse B,South,4,129.2,12.0,33,516.78,200.71,On Time
ORD-10004,2023-01-02,2023-01-07,Bookshelf,Furniture,TimberCraft,Warehouse B,North,1,288.13,112.5,151,288.13,1.38,On Time
ORD-10005,2023-01-02,2023-01-06,Bulk Almonds,Grocery,FreshFoods,Warehouse B,North,12,26.5,12.0,3,318.06,19.44,On Time
ORD-10006,2023-01-02,2023-01-06,Wireless Earbuds,Electronics,TechCorp,Warehouse A,East,1,923.4,25.0,74,923.4,310.69,On Time
ORD-10007,2023-01-03,2023-01-19,Running Shoes,Clothing,Vogue Apparel,Warehouse B,East,4,124.65,12.0,324,498.59,193.44,Critical Delay
ORD-10008,2023-01-03,2023-01-07,Organic Coffee,Grocery,FreshFoods,Warehouse C,East,11,15.9,8.0,338,174.88,9.99,On Time
ORD-10009,2023-01-04,2023-01-08,4K Monitor,Electronics,TechCorp,Warehouse C,West,2,933.62,25.0,217,1867.23,641.03,On Time
ORD-10010,2023-01-04,2023-01-20,Denim Jeans,Clothing,Vogue Apparel,Warehouse B,North,3,129.17,18.0,109,387.52,146.01,Critical Delay
ORD-10011,2023-01-05,2023-01-08,Office Chair,Furniture,TimberCraft,Warehouse B,North,2,334.59,112.5,384,669.18,77.59,On Time
ORD-10012,2023-01-05,2023-01-10,Ergonomic Desk,Furniture,TimberCraft,Warehouse C,South,1,436.77,75.0,93,436.77,49.85,On Time
ORD-10013,2023-01-06,2023-01-21,Energy Drinks,Grocery,FreshFoods,Warehouse B,East,7,46.16,8.0,345,323.1,21.85,Critical Delay
ORD-10014,2023-01-07,2023-01-11,Bulk Almonds,Grocery,FreshFoods,Warehouse A,East,14,21.31,8.0,182,298.34,19.87,On Time
ORD-10015,2023-01-07,2023-01-23,Energy Drinks,Grocery,FreshFoods,Warehouse B,West,10,27.99,8.0,203,279.9,18.39,Critical Delay
ORD-10016,2023-01-07,2023-01-20,Denim Jeans,Clothing,Vogue Apparel,Warehouse B,North,2,65.15,18.0,222,130.31,43.12,Critical Delay
ORD-10017,2023-01-08,2023-01-15,Ergonomic Desk,Furniture,TimberCraft,Warehouse B,West,1,297.79,75.0,150,297.79,22.06,Delayed
ORD-10018,2023-01-09,2023-01-10,Winter Jacket,Clothing,Vogue Apparel,Warehouse A,West,2,34.83,12.0,346,69.66,21.86,On Time
ORD-10019,2023-01-09,2023-01-11,Running Shoes,Clothing,Vogue Apparel,Warehouse A,North,1,90.53,18.0,217,90.53,27.21,On Time
ORD-10020,2023-01-10,2023-01-14,Winter Jacket,Clothing,Vogue Apparel,Warehouse A,North,2,106.97,18.0,144,213.95,76.58,On Time
ORD-10021,2023-01-10,2023-01-15,Wireless Earbuds,Electronics,TechCorp,Warehouse C,South,3,1178.06,25.0,51,3534.19,1224.47,On Time
ORD-10022,2023-01-10,2023-01-25,Wireless Earbuds,Electronics,TechCorp,Warehouse B,North,1,217.95,37.5,135,217.95,57.53,Critical Delay
ORD-10023,2023-01-11,2023-01-13,Denim Jeans,Clothing,Vogue Apparel,Warehouse A,East,3,91.83,12.0,116,275.48,104.19,On Time
ORD-10024,2023-01-11,2023-01-27,Winter Jacket,Clothing,Vogue Apparel,Warehouse B,North,3,71.66,18.0,326,214.98,76.99,Critical Delay
ORD-10025,2023-01-11,2023-01-13,Smartphone X,Electronics,TechCorp,Warehouse A,South,3,476.44,25.0,257,1429.33,487.77,On Time
ORD-10026,2023-01-11,2023-01-14,4K Monitor,Electronics,TechCorp,Warehouse B,East,1,813.47,25.0,133,813.47,272.21,On Time
ORD-10027,2023-01-12,2023-01-15,Laptop Pro,Electronics,TechCorp,Warehouse B,North,3,932.64,37.5,385,2797.91,960.52,On Time
ORD-10028,2023-01-12,2023-01-16,Energy Drinks,Grocery,FreshFoods,Warehouse A,South,9,29.41,8.0,279,264.73,17.18,On Time
ORD-10029,2023-01-12,2023-01-16,Smart Watch Band,Accessories,Apex Goods,Warehouse C,South,3,109.29,12.0,300,327.88,141.55,On Time
ORD-10030,2023-01-12,2023-01-15,Leather Wallet,Accessories,Apex Goods,Warehouse B,North,1,63.79,18.0,153,63.79,19.71,On Time
ORD-10031,2023-01-13,2023-01-15,Leather Wallet,Accessories,Apex Goods,Warehouse A,West,3,53.06,12.0,305,159.19,65.64,On Time
ORD-10032,2023-01-14,2023-01-16,Laptop Pro,Electronics,TechCorp,Warehouse B,North,2,439.87,37.5,357,879.75,289.16,On Time
ORD-10033,2023-01-14,2023-01-19,Winter Jacket,Clothing,Vogue Apparel,Warehouse A,East,3,124.81,12.0,231,374.42,143.77,On Time
ORD-10034,2023-01-14,2023-01-17,Energy Drinks,Grocery,FreshFoods,Warehouse B,North,13,17.0,12.0,266,220.94,11.68,On Time
ORD-10035,2023-01-15,2023-01-19,Denim Jeans,Clothing,Vogue Apparel,Warehouse B,North,5,119.21,18.0,161,596.05,229.42,On Time
ORD-10036,2023-01-15,2023-01-19,Energy Drinks,Grocery,FreshFoods,Warehouse A,East,5,20.41,8.0,1,102.06,4.16,On Time
ORD-10037,2023-01-16,2023-01-18,Bookshelf,Furniture,TimberCraft,Warehouse B,North,2,144.29,112.5,363,288.58,-43.29,On Time
ORD-10038,2023-01-17,2023-01-30,4K Monitor,Electronics,TechCorp,Warehouse B,East,3,1026.04,25.0,192,3078.12,1064.84,Critical Delay
ORD-10039,2023-01-17,2023-01-31,Running Shoes,Clothing,Vogue Apparel,Warehouse B,East,4,35.63,12.0,305,142.53,51.01,Critical Delay
ORD-10040,2023-01-17,2023-01-20,Bookshelf,Furniture,TimberCraft,Warehouse A,West,2,190.54,75.0,215,381.08,38.72,On Time
ORD-10041,2023-01-18,2023-01-23,Leather Wallet,Accessories,Apex Goods,Warehouse A,West,1,97.12,12.0,274,97.12,37.7,On Time
ORD-10042,2023-01-18,2023-01-25,Energy Drinks,Grocery,FreshFoods,Warehouse B,North,6,49.82,12.0,323,298.91,17.91,Delayed
ORD-10043,2023-01-19,2023-01-23,Energy Drinks,Grocery,FreshFoods,Warehouse A,South,12,43.17,8.0,6,518.06,37.44,On Time
ORD-10044,2023-01-20,2023-01-25,Leather Wallet,Accessories,Apex Goods,Warehouse C,South,4,64.31,12.0,251,257.22,109.75,On Time
ORD-10045,2023-01-21,2023-01-26,Energy Drinks,Grocery,FreshFoods,Warehouse A,East,11,19.5,8.0,95,214.47,13.16,On Time
ORD-10046,2023-01-21,2023-02-02,Smart Watch Band,Accessories,Apex Goods,Warehouse B,North,1,116.67,18.0,281,116.67,43.5,Critical Delay
ORD-10047,2023-01-21,2023-01-24,Laptop Pro,Electronics,TechCorp,Warehouse B,North,1,650.47,37.5,161,650.47,208.91,On Time
ORD-10048,2023-01-21,2023-01-25,Running Shoes,Clothing,Vogue Apparel,Warehouse A,East,1,131.04,12.0,62,131.04,46.42,On Time
ORD-10049,2023-01-21,2023-01-22,Laptop Pro,Electronics,TechCorp,Warehouse B,North,2,418.51,37.5,252,837.02,274.21,On Time
ORD-10050,2023-01-22,2023-01-25,Bookshelf,Furniture,TimberCraft,Warehouse A,West,1,451.95,75.0,211,451.95,52.89,On Time
ORD-10051,2023-01-22,2023-01-26,Wireless Earbuds,Electronics,TechCorp,Warehouse C,South,3,365.2,25.0,128,1095.61,370.96,On Time
ORD-10052,2023-01-22,2023-01-23,Bulk Almonds,Grocery,FreshFoods,Warehouse B,North,13,38.86,12.0,6,505.12,34.41,On Time
ORD-10053,2023-01-23,2023-02-08,Energy Drinks,Grocery,FreshFoods,Warehouse B,North,9,36.51,12.0,103,328.56,20.28,Critical Delay
ORD-10054,2023-01-23,2023-01-31,Bookshelf,Furniture,TimberCraft,Warehouse B,East,2,358.44,75.0,350,716.88,105.88,Delayed
ORD-10055,2023-01-24,2023-01-27,4K Monitor,Electronics,TechCorp,Warehouse B,North,3,923.97,37.5,112,2771.92,951.42,On Time
ORD-10056,2023-01-25,2023-01-30,4K Monitor,Electronics,TechCorp,Warehouse B,North,3,648.85,37.5,376,1946.56,662.55,On Time
ORD-10057,2023-01-25,2023-01-30,Wireless Earbuds,Electronics,TechCorp,Warehouse A,South,2,1045.6,25.0,118,2091.21,719.42,On Time
ORD-10058,2023-01-25,2023-01-26,Office Chair,Furniture,TimberCraft,Warehouse B,North,1,253.7,112.5,354,253.7,-5.51,On Time
ORD-10059,2023-01-27,2023-02-07,Bookshelf,Furniture,TimberCraft,Warehouse B,East,2,340.43,75.0,186,680.86,98.67,Critical Delay
ORD-10060,2023-01-27,2023-02-08,Energy Drinks,Grocery,FreshFoods,Warehouse B,North,14,16.18,12.0,145,226.5,12.12,Critical Delay
ORD-10061,2023-01-28,2023-01-31,Organic Coffee,Grocery,FreshFoods,Warehouse B,South,5,14.21,8.0,395,71.05,1.68,On Time
ORD-10062,2023-01-28,2023-02-08,4K Monitor,Electronics,TechCorp,Warehouse B,North,2,587.99,37.5,281,1175.97,392.84,Critical Delay
ORD-10063,2023-01-28,2023-02-01,Ergonomic Desk,Furniture,TimberCraft,Warehouse A,West,1,482.37,75.0,153,482.37,58.97,On Time
ORD-10064,2023-01-29,2023-02-02,Leather Wallet,Accessories,Apex Goods,Warehouse A,South,4,98.89,12.0,243,395.58,-59.34,On Time
ORD-10065,2023-01-29,2023-01-31,Backpack,Accessories,Apex Goods,Warehouse A,South,5,41.88,12.0,61,209.42,88.24,On Time
ORD-10066,2023-01-29,2023-02-12,Office Chair,Furniture,TimberCraft,Warehouse B,North,1,370.95,112.5,378,370.95,17.94,Critical Delay
ORD-10067,2023-01-29,2023-01-30,Smart Watch Band,Accessories,Apex Goods,Warehouse B,North,3,121.71,18.0,123,365.13,155.31,On Time
ORD-10068,2023-01-29,2023-02-03,Winter Jacket,Clothing,Vogue Apparel,Warehouse A,East,3,112.42,12.0,110,337.25,128.9,On Time
ORD-10069,2023-01-29,2023-01-30,Running Shoes,Clothing,Vogue Apparel,Warehouse C,South,3,36.98,12.0,24,110.95,38.38,On Time
ORD-10070,2023-02-01,2023-02-03,Bulk Almonds,Grocery,FreshFoods,Warehouse B,South,7,15.95,8.0,3,111.66,4.93,On Time
ORD-10071,2023-02-03,2023-02-08,Denim Jeans,Clothing,Vogue Apparel,Warehouse C,East,1,98.75,12.0,198,98.75,33.5,On Time
ORD-10072,2023-02-03,2023-02-04,Smart Watch Band,Accessories,Apex Goods,Warehouse C,South,4,119.39,12.0,182,477.55,208.9,On Time
ORD-10073,2023-02-03,2023-02-16,Laptop Pro,Electronics,TechCorp,Warehouse B,North,3,1093.09,37.5,342,3279.27,1128.99,Critical Delay
ORD-10074,2023-02-04,2023-02-09,Wireless Earbuds,Electronics,TechCorp,Warehouse A,South,2,922.71,25.0,339,1845.41,633.39,On Time
ORD-10075,2023-02-04,2023-02-06,Office Chair,Furniture,TimberCraft,Warehouse C,West,1,482.98,75.0,389,482.98,59.1,On Time
ORD-10076,2023-02-04,2023-02-09,Organic Coffee,Grocery,FreshFoods,Warehouse B,North,9,23.67,12.0,7,213.04,11.04,On Time
ORD-10077,2023-02-05,2023-02-08,Bulk Almonds,Grocery,FreshFoods,Warehouse C,West,11,14.18,8.0,3,155.94,8.48,On Time
ORD-10078,2023-02-05,2023-02-18,Ergonomic Desk,Furniture,TimberCraft,Warehouse B,North,1,379.1,112.5,142,379.1,19.57,Critical Delay
ORD-10079,2023-02-05,2023-02-08,Bulk Almonds,Grocery,FreshFoods,Warehouse B,North,12,12.92,12.0,314,154.99,6.4,On Time
ORD-10080,2023-02-06,2023-02-11,Backpack,Accessories,Apex Goods,Warehouse C,South,5,61.79,12.0,252,308.97,133.04,On Time
ORD-10081,2023-02-06,2023-02-08,Laptop Pro,Electronics,TechCorp,Warehouse B,North,1,322.92,37.5,51,322.92,94.27,On Time
ORD-10082,2023-02-06,2023-02-19,Bulk Almonds,Grocery,FreshFoods,Warehouse B,North,8,28.53,12.0,49,228.22,12.26,Critical Delay
ORD-10083,2023-02-07,2023-02-08,Bulk Almonds,Grocery,FreshFoods,Warehouse C,South,12,45.28,8.0,0,543.36,39.47,On Time
ORD-10084,2023-02-07,2023-02-09,Wireless Earbuds,Electronics,TechCorp,Warehouse B,South,2,476.17,25.0,107,952.34,320.82,On Time
ORD-10085,2023-02-08,2023-02-12,Bookshelf,Furniture,TimberCraft,Warehouse A,West,1,430.69,75.0,181,430.69,48.64,On Time
ORD-10086,2023-02-08,2023-02-10,Winter Jacket,Clothing,Vogue Apparel,Warehouse C,West,4,74.91,12.0,205,299.64,113.86,On Time
ORD-10087,2023-02-08,2023-02-13,Denim Jeans,Clothing,Vogue Apparel,Warehouse A,West,5,20.57,12.0,32,102.84,35.14,On Time
ORD-10088,2023-02-08,2023-02-12,Smart Watch Band,Accessories,Apex Goods,Warehouse A,East,1,142.72,12.0,230,142.72,58.22,On Time
ORD-10089,2023-02-09,2023-02-22,Smart Watch Band,Accessories,Apex Goods,Warehouse B,North,1,85.05,18.0,165,85.05,29.27,Critical Delay
ORD-10090,2023-02-09,2023-02-14,Energy Drinks,Grocery,FreshFoods,Warehouse A,South,13,38.79,8.0,119,504.22,36.34,On Time
ORD-10091,2023-02-10,2023-02-14,Energy Drinks,Grocery,FreshFoods,Warehouse B,North,7,15.03,12.0,168,105.2,2.42,On Time
ORD-10092,2023-02-10,2023-02-15,4K Monitor,Electronics,TechCorp,Warehouse C,West,1,866.87,25.0,157,866.87,290.9,On Time
ORD-10093,2023-02-10,2023-02-14,Ergonomic Desk,Furniture,TimberCraft,Warehouse B,West,2,251.64,75.0,356,503.28,63.16,On Time
ORD-10094,2023-02-11,2023-02-13,Laptop Pro,Electronics,TechCorp,Warehouse B,East,1,1106.07,25.0,247,1106.07,374.62,On Time
ORD-10095,2023-02-11,2023-02-26,Energy Drinks,Grocery,FreshFoods,Warehouse B,North,14,18.79,12.0,189,263.09,15.05,Critical Delay
ORD-10096,2023-02-11,2023-02-28,Laptop Pro,Electronics,TechCorp,Warehouse B,North,3,541.8,37.5,263,1625.41,550.14,Critical Delay
ORD-10097,2023-02-12,2023-02-15,Energy Drinks,Grocery,FreshFoods,Warehouse C,South,12,10.94,8.0,64,131.33,6.51,On Time
ORD-10098,2023-02-12,2023-02-16,Office Chair,Furniture,TimberCraft,Warehouse B,North,1,341.32,112.5,237,341.32,12.01,On Time
ORD-10099,2023-02-12,2023-02-15,Smart Watch Band,Accessories,Apex Goods,Warehouse B,East,4,145.16,12.0,36,580.64,255.29,On Time
ORD-10100,2023-02-12,2023-02-16,Bulk Almonds,Grocery,FreshFoods,Warehouse A,West,7,22.61,8.0,379,158.24,8.66,On Time
ORD-10101,2023-02-16,2023-02-17,Ergonomic Desk,Furniture,TimberCraft,Warehouse C,East,2,238.08,75.0,207,476.15,57.73,On Time
